id,question,tags
112,"Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
","location (other)"
113,"What are the world 's four oceans ?
","location (other)"
114,"What 's the only work by Michelangelo that bears his signature ?
","entity (creative)"
115,"What is the largest snake in the world ?
","entity (animal)"
116,"In what medium is Stuart Hamblen considered to be the first singing cowboy ?
","entity (creative)"
117,"Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
","location (other)"
118,"How much money does a back injury lawsuit get ?
","numeric (money)"
119,"What 's the common name for acetylsalicylic acid ?
","entity (term)"
120,"What does the Georgetown `` Hoya '' mean ?
","description (definition)"
121,"Where can I find a list of `` classic '' books 5th and 6th graders should read ?
","location (other)"
122,"Which two products use a tiger as their symbol ?
","entity (product)"
123,"How is the election of a new Pope announced to the world ?
","description (manner)"
124,"How long does it take for your blood to make one complete trip through the body ?
","numeric (period)"
125,"How do chickens have baby chicks ?
","description (manner)"
126,"What is the historical relationship of Catholic Church and bingo ?
","description (description)"
127,"How was the element calcium named ?
","description (manner)"
128,"What crooner joined The Andrews Sisters for Pistol Packin Mama ?
","human (individual)"
129,"What piano company claims its product is the `` Instrument of the immortals '' ?
","human (group)"
130,"When did the Bounty mutiny take place ?
","numeric (date)"
131,"What novel inspired the movie BladeRunner ?
","entity (creative)"
132,"What is a transistor ?
","description (definition)"
133,"What is a film starring Jude Law ?
","entity (creative)"
134,"What Hollywood dog died in the arms of Jean Harlow in 1932 ?
","entity (animal)"
135,"What are the most common elements in the Earth 's crust ?
","entity (substance)"
136,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?
","numeric (money)"
137,"What actress has received the most Oscar nominations ?
","human (individual)"
138,"What are equity securities ?
","description (definition)"
139,"What is gymnophobia ?
","description (definition)"
140,"How many years do fossils take to form ?
","numeric (count)"
141,"Where is the Orinoco ?
","location (other)"
142,"What was the name of the `` Little Rascals '' dog ?
","entity (animal)"
143,"What city boasts Penn 's Landing , on the banks of the Delaware river ?
","location (city)"
144,"What Broadway musical was inspired by Cervantes 's Don Quixote ?
","entity (creative)"
145,"What is the origin of the word , JJ .
","description (description)"
146,"How many hostages were killed in the Entebbe raid ?
","numeric (count)"
147,"How you can raise your IQ ?
","description (manner)"
148,"What does INRI stand for when used on Jesus ' cross ?
","abbreviation (expression)"
149,"Who produces Spumante ?
","human (group)"
150,"Who earns their money the hard way ?
","human (individual)"
151,"Who founded the People 's Temple Commune ?
","human (individual)"
152,"What athlete makes the most money from sports merchandise sales ?
","human (individual)"
153,"How many bends are there in a standard paper clip ?
","numeric (count)"
154,"Who discovered electricity ?
","human (individual)"
155,"What part of your body contains the corpus callosum ?
","entity (body)"
156,"Who was the first American in space ?
","human (individual)"
157,"What two South American countries do n't border Brazil ?
","location (country)"
158,"What album put The Beatles on the cover of Time in 1967 ?
","entity (creative)"
159,"What poem contains the line , `` grow old with me the best is yet to be '' .
","entity (creative)"
160,"What is a dental root canal ?
","description (definition)"
161,"What war did the Wanna-Go-Home Riots occur after ?
","entity (event)"
162,"What is the busiest air travel season ?
","numeric (date)"
163,"What 's the colored part of the eye called ?
","entity (body)"
164,"What are hook worms ?
","description (definition)"
165,"Where is the Rose Bowl played ?
","location (other)"
166,"Which Japanese car maker had its biggest percentage of sale in the domestic market ?
","human (group)"
167,"Who is the mayor of Marbella ?
","human (individual)"
168,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?
","location (other)"
169,"In what year did Thatcher become prime minister ?
","numeric (date)"
170,"How many months does it take the moon to revolve around the Earth ?
","numeric (count)"
171,"Where are the 49 steps ?
","location (other)"
172,"In what year was De Gaulle elected president of France ?
","numeric (date)"
173,"Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
","human (individual)"
174,"Who directed `` Jaws '' ?
","human (individual)"
175,"On what T.V. show could Tom Terrific be found ?
","entity (creative)"
176,"What Indian tribe is F Troop perpetually doing battle with ?
","human (group)"
177,"Where did Indian Pudding come from ?
","description (description)"
178,"Why do some clothing labels say `` Use a nonchlorine bleach '' ?
","description (reason)"
179,"How many colonies were involved in the American Revolution ?
","numeric (count)"
180,"What is the name of the city that Maurizio Pellegrin lives in ?
","location (city)"
181,"Where can I find pictorial directions on how to build a very simple treehouse ?
","location (other)"
182,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?
","entity (sport)"
183,"What is the name of the managing director of Apricot Computer ?
","human (individual)"
184,"What is the occupation of Nicholas Cage ?
","human (title)"
185,"Why do horseshoes bring luck ?
","description (reason)"
186,"What is the 401 , K , plan ?
","description (definition)"
187,"What causes pneumonia ?
","description (reason)"
188,"What are the three winter months in the southern hemisphere ?
","numeric (date)"
189,"What does gringo mean ?
","description (definition)"
190,"What country contains Africa 's northernmost point ?
","location (country)"
191,"What therapy attempts to elicit the `` primal scream '' ?
","entity (medicine)"
192,"Where is the Kalahari desert ?
","location (other)"
193,"Which Ventura County police department seized the largest cocaine shipment in it 's history ?
","human (group)"
194,"What city is sometimes called Gotham ?
","location (city)"
195,"What dangles over the tongue from the palate ?
","entity (body)"
196,"Who created Dennis the Menace ?
","human (individual)"
197,"What dummy received an honorary degree from Northwestern University ?
","human (individual)"
198,"When was the first Wall Street Journal published ?
","numeric (date)"
199,"What countries have the largest areas of forest ?
","location (country)"
200,"How do I start a web based business ?
","description (manner)"
201,"Name Alvin 's brothers
","human (individual)"
202,"What is Eagle 's syndrome styloid process ?
","description (definition)"
203,"How did Jayne Mansfield die ?
","description (manner)"
204,"When did the royal wedding of Prince Andrew and Fergie take place ?
","numeric (date)"
205,"What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
","human (individual)"
206,"What explorer was nicknamed Iberia 's Pilot ?
","human (individual)"
207,"CNN began broadcasting in what year ?
","numeric (date)"
208,"What is a ball that hits the foul pole called ?
","entity (term)"
209,"What makes hamburgers taste like steakburgers ?
","description (reason)"
210,"Which company created the Internet browser Mosaic ?
","human (group)"
211,"What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
","entity (event)"
212,"What was the education system in the 1960 's ?
","entity (other)"
213,"What South American city has the world 's highest commercial landing field ?
","location (city)"
214,"How can I find out which cities have cable-modem access ?
","description (manner)"
215,"What is Betsy Ross famous for ?
","description (reason)"
216,"How many species of sharks are there ?
","numeric (count)"
217,"What is `` snoogans '' ?
","description (definition)"
218,"How many people are there in the world ?
","numeric (count)"
219,"What shrubs can be planted that will be safe from deer ?
","entity (plant)"
220,"What organization 's offices were broken into at Watergate in 1972 ?
","human (group)"
221,"What is the design of the ship Titanic ?
","description (description)"
222,"What does S.O.S. stand for ?
","abbreviation (expression)"
223,"Name a technique widely used to detect birth defects ?
","entity (techmeth)"
224,"What is the daily requirement of folic acid for an expectant mother ?
","description (description)"
225,"What is the `` 7-minute cigarette '' ?
","description (definition)"
226,"What four forms does gold occur in ?
","entity (other)"
227,"What is the acreage of the Chappellet vineyard ?
","numeric (size)"
228,"How do you correctly say the word ` qigong ' ?
","description (manner)"
229,"When did beethoven die ?
","numeric (date)"
230,"How much does a new railroad coal car cost ?
","numeric (money)"
231,"What two European countries entered the War of American Independence against the British ?
","location (country)"
232,"What is the filmmakers collabrative ?
","description (definition)"
233,"What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
","human (individual)"
234,"What caused Harry Houdini 's death ?
","description (reason)"
235,"Who was the mother of the man who would not be king , the duke of Windsor ?
","human (individual)"
236,"How many revolutions does a standard LP make in three minutes ?
","numeric (count)"
237,"What is the name of the tallest mountain in the world ?
","location (mountain)"
238,"Where can I find a review of Nightmare on Elm Street in a film journal ?
","location (other)"
239,"What 's the slowest Olympic swimming stroke ?
","entity (techmeth)"
240,"What was the name of the first Russian astronaut to do a spacewalk ?
","human (individual)"
241,"What disease is transmitted by the Anopheles mosquito ?
","entity (medicine)"
242,"What rum is so `` mixable '' it is a one-brand bar ?
","entity (food)"
243,"How many South American countries have the letter Z in their names ?
","numeric (count)"
244,"What is the contents of proposition 98 ?
","description (definition)"
245,"Where was George Washington born ?
","location (other)"
246,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .
","numeric (count)"
247,"Who wrote NN DT NNP NNP '' ?
","human (individual)"
248,"What is paracetamol ?
","description (definition)"
249,"What are the powers and weaknesses of Green Lantern 's ring ?
","description (description)"
250,"Which mosquito 's bite draws blood , DT NN CC DT NN .
","entity (animal)"
251,"When was the first steel mill in the United States built ?
","numeric (date)"
252,"What diminutive American female gymnast stole the show at the 1984 Olympics ?
","human (individual)"
253,"What is the origin of the name Katie ?
","description (description)"
254,"What schools in the Washington , DC NN NN VBP NN NN NN NN .
","human (group)"
255,"When did the Berlin Wall go up ?
","numeric (date)"
256,"Who is Terrence Malick ?
","human (description)"
257,"What instrument is Ray Charles best known for playing ?
","entity (instrument)"
258,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .
","description (definition)"
259,"What is the mascot for Notre Dame University ?
","entity (other)"
260,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?
","location (other)"
261,"When did Mount St. Helen last have a significant eruption ?
","numeric (date)"
262,"CNN is the abbreviation for what ?
","abbreviation (expression)"
263,"When did World War I start ?
","numeric (date)"
264,"How many feet are there in a fathom ?
","numeric (count)"
265,"What is a Canada two-penny black ?
","description (definition)"
266,"What European city do Nicois live in ?
","location (city)"
267,"How can I find out what year a Beanie Baby was introduced ?
","description (manner)"
268,"What is the classic definition of tragic hero ?
","description (definition)"
269,"To what does Microsoft 's Windows 3 owe its success ?
","entity (other)"
270,"Who was President of Afghanistan in 1994 ?
","human (individual)"
271,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?
","entity (techmeth)"
272,"What did brontosauruses eat ?
","entity (food)"
273,"What color bottles do good Rhine wines come in ?
","entity (color)"
274,"Who was the lead actress in the movie ` Sleepless in Seattle ' ?
","human (individual)"
275,"Who was the 16th President of the United States ?
","human (individual)"
276,"Who are the two sons of Ozzie and Harriet Nelson ?
","human (individual)"
277,"What is molybdenum ?
","description (definition)"
278,"When is Boxing Day ?
","numeric (date)"
279,"What is the lowest level of the American judiciary ?
","entity (other)"
280,"When was the battle of the Somme fought ?
","numeric (date)"
281,"How many people did Randy Craft kill ?
","numeric (count)"
282,"What 's the official animal of Canada ?
","entity (animal)"
283,"When did Spielberg direct `` Jaws '' ?
","numeric (date)"
284,"What is the size of the largest akita ?
","numeric (size)"
285,"What animal has the biggest eyes ?
","entity (animal)"
286,"What is California 's capital ?
","location (city)"
287,"Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
","human (individual)"
288,"Who was the founding member of the Pink Floyd band ?
","human (individual)"
289,"What European country is home to the beer-producing city of Budweis ?
","location (country)"
290,"How do I find the balance of my social security account ?
","description (manner)"
291,"What is the history of Valentine 's Day cards ?
","description (description)"
292,"Where was Christopher Columbus born ?
","location (other)"
293,"What do Italians call Florence ?
","entity (term)"
294,"How do you get to the top of the Eiffel Tower ?
","description (manner)"
295,"What does ` PSI ' stand for ?
","abbreviation (expression)"
296,"What sea did the Romans call mare nostrum ?
","location (other)"
297,"What 's the term for a bet before cards are dealt ?
","entity (term)"
298,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?
","entity (animal)"
299,"What city did the Flintstones live in ?
","location (city)"
300,"What is Latin for incompetent ?
","entity (term)"
301,"What chemicals are used in lethal injection ?
","entity (medicine)"
302,"What toy company is the world 's No.1 maker of female apparel ?
","human (group)"
303,"What board game does a `` wood-pusher '' play poorly ?
","entity (sport)"
304,"Which Doonesbury character was likely to turn into a werewolf ?
","human (individual)"
305,"What is the abbreviation for micro ?
","abbreviation (abbreviation)"
306,"What are the 7 articles of the constitution ?
","entity (other)"
307,"Who has won the most Super Bowls ?
","human (group)"
308,"What does NASDAQ stand for ?
","abbreviation (expression)"
309,"What is BPH ?
","abbreviation (expression)"
310,"What is the fastest commercial automobile that can be bought in the US ?
","entity (other)"
311,"What stadium do the Miami Dolphins play their home games in ?
","location (other)"
312,"Who has the only speaking role in `` Silent Movie '' ?
","human (individual)"
313,"Why is poop sometimes different colors ?
","description (reason)"
314,"What was Einstein 's IQ ?
","numeric (other)"
315,"What day was Pearl Harbor attacked in 1942 ?
","numeric (date)"
316,"What girl 's name is `` Teddy '' an affectionate form of ?
","human (individual)"
317,"What state is John F. Kennedy buried in ?
","location (state)"
318,"What is the best way to remove wallpaper ?
","entity (techmeth)"
319,"What U.S. state has an element named for it ?
","location (state)"
320,"What company tabulates the ballots in voting for the Academy Awards ?
","human (group)"
321,"How did the tradition of best man start ?
","description (manner)"
322,"How many years ago did the ship Titanic sink ?
","numeric (count)"
323,"What is the deepest area of the Arctic Ocean ?
","location (other)"
324,"What are Halloween 's colors ?
","entity (color)"
325,"How is silk screening done ?
","description (manner)"
326,"What is the latitude and longitude of El Paso , Texas ?
","numeric (other)"
327,"Who made a boat out of gopher wood ?
","human (individual)"
328,"Where can I find a `` Fifth Element '' screensaver ?
","location (other)"
329,"Which Bloom County resident wreaks havoc with a computer ?
","human (individual)"
330,"How do you match a name to a social security number ?
","description (manner)"
331,"How does a rainbow form ?
","description (manner)"
332,"What is the normal resting heart rate of a healthy adult ?
","numeric (other)"
333,"What is the population of Ohio ?
","numeric (other)"
334,"How many calories are there in a Big Mac ?
","numeric (count)"
335,"Hazmat stands for what ?
","description (definition)"
336,"What creature scares people in the film `` Jaws '' ?
","entity (animal)"
337,"What part did John Peter Zenger play in the deveopment of the newspaper in America ?
","human (individual)"
338,"Who followed Caesar ?
","human (individual)"
339,"What are the four elements ?
","entity (substance)"
340,"Who was the first woman golfer to earn a million ?
","human (individual)"
341,"What 's the tallest piece on a chessboard ?
","entity (other)"
342,"What is Answers.com 's address ?
","location (other)"
343,"Where can I buy movies on videotape online ?
","location (other)"
344,"Who does the advertizing for Frito-Lay ?
","human (individual)"
345,"Who is the leading competitor of Trans Union Company ?
","human (group)"
346,"What product did Robert Conrad dare people to knock off his shoulder ?
","entity (product)"
347,"Who invented the radio ?
","human (individual)"
348,"What 's the American dollar equivalent for 8 pounds in the U.K. ?
","numeric (count)"
349,"What are the different approaches of systems analysis ?
","entity (techmeth)"
350,"How do doctors diagnose bone cancer ?
","description (manner)"
351,"Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
","human (individual)"
352,"What is the speed of the Mississippi River ?
","numeric (speed)"
353,"What are the developmental stages of a swimmer ?
","entity (other)"
354,"What actor first portrayed James Bond ?
","human (individual)"
355,"What ocean is the largest in the world ?
","location (other)"
356,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?
","human (individual)"
357,"What year did Jack Nicklaus join the Professional Golfers Association tour ?
","numeric (date)"
358,"How many sonnets did Shakespeare write ?
","numeric (count)"
359,"What causes the redness in your cheeks when you blush ?
","description (reason)"
360,"Who won the Nobel Peace Prize in 1991 ?
","human (individual)"
361,"Who are the Challengers of the Unknown ?
","human (group)"
362,"Define the Pheonix Club ?
","description (definition)"
363,"Which city did Christian Crusaders fight to recapture from the Muslims ?
","location (city)"
364,"What does it mean `` Rupee Depreciates '' ?
","description (definition)"
365,"What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
","entity (other)"
366,"Who was the first coach of the Cleveland Browns ?
","human (individual)"
367,"How successful is arometherapy ?
","description (manner)"
368,"What Jewish holiday saw the start of the 1973 Mideast War ?
","entity (event)"
369,"How does a copier work ?
","description (manner)"
370,"What is the speed of the Mississippi River ?
","numeric (speed)"
371,"Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
","human (individual)"
372,"What is Dudley Do-Right 's horse 's name ?
","entity (animal)"
373,"Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
","human (individual)"
374,"Where does chocolate come from ?
","location (other)"
375,"What TV game show once saw a contestant admit to picking his toes in the shower ?
","entity (creative)"
376,"What Soviet leader owned a Rolls-Royce ?
","human (individual)"
377,"Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
","location (other)"
378,"What war did Florence Nightingale tend the troops in ?
","entity (event)"
379,"Who wrote the song , `` Stardust '' ?
","human (individual)"
380,"How many Beatles ' records went #1 ?
","numeric (count)"
381,"Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
","human (individual)"
382,"What is the abbreviation of the company name ` General Motors ' ?
","abbreviation (abbreviation)"
383,"What mountains lie between the Arkansas and Missouri rivers ?
","location (mountain)"
384,"Who received the Will Rogers Award in 1989 ?
","human (individual)"
385,"What is the function of RAM ?
","description (reason)"
386,"What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
","location (other)"
387,"How many equal angles are there in an isosceles triangle ?
","numeric (count)"
388,"What is the fear of cockroaches called ?
","entity (medicine)"
389,"What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
","entity (creative)"
390,"What is the use of a 24-hour clock instead of a 12-hour clock ?
","description (description)"
391,"What was the name of the lawyer who represented Randy Craft ?
","human (individual)"
392,"What United States President had dreamed that he was assassinated ?
","human (individual)"
393,"What film did Lee Marvin win the 1965 best actor Oscar for ?
","entity (creative)"
394,"Where is Basque country located ?
","location (other)"
395,"What product does `` Mrs. Olsen '' promote ?
","entity (product)"
396,"What time of day did Emperor Hirohito die ?
","numeric (date)"
397,"What is dry ice ?
","description (definition)"
398,"What 's the most powerful card in Euchre ?
","entity (other)"
399,"What does `` intractable plantar keratoma '' mean ?
","description (definition)"
400,"How many years did it take James Joyce to write Ulysses ?
","numeric (count)"
401,"What crop failure caused the Irish Famine ?
","entity (food)"
402,"What South Korean city is served by Kimpo International Airport ?
","location (city)"
403,"How many types of dogs ' tails are there - three
","numeric (count)"
404,"What is the longest-running television series ?
","entity (creative)"
405,"What predators exist on Antarctica ?
","entity (animal)"
406,"What is the difference between a generator and an alternator ?
","description (description)"
407,"How is energy created ?
","description (manner)"
408,"What beer advertised that it had `` three rings '' ?
","entity (food)"
409,"What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
","numeric (other)"
410,"What golfing accessory was patented by George Grant on December 12
","entity (techmeth)"
411,"What are the different types of plastic ?
","entity (other)"
412,"How is it correct to say ` qigong ' ?
","description (manner)"
413,"What was the highest mountain on earth before Mount Everest was discovered ?
","location (mountain)"
414,"Where was the Ligurian Republic , 1797-185 , ?
","location (other)"
415,"What country 's people are the top television watchers ?
","location (country)"
416,"When was the women 's suffrage amendment ratified ?
","numeric (date)"
417,"What Polynesian people inhabit New Zealand ?
","human (group)"
418,"What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
","entity (creative)"
419,"What Nevada center has been dubbed The Biggest Little City in the World ?
","location (city)"
420,"What President lived at 219 North Delaware Street , Independence , Missouri ?
","human (individual)"
421,"Give a reason for American Indians oftentimes dropping out of school .
","description (reason)"
422,"Where must a soccer goalie stand to be permitted to handle the ball ?
","location (other)"
423,"What is the difference between classical conditioning and operant conditioning ?
","description (description)"
424,"In what U.S. state was the first woman governor elected ?
","location (state)"
425,"What are some interesting facts and information about dogsledding ?
","description (description)"
426,"What year did Hitler die ?
","numeric (date)"
427,"What famous model was married to Billy Joel ?
","human (individual)"
428,"What kind of animal is Babar ?
","entity (animal)"
429,"What is Jane Goodall known for ?
","description (reason)"
430,"What killed Bob Marley ?
","entity (other)"
431,"How much money are Dumbo 's ears insured for ?
","numeric (money)"
432,"Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
","human (individual)"
433,"Who is Stein Eriksen ?
","human (description)"
434,"What does the name Billie mean ?
","description (definition)"
435,"Who is the fastest swimmer in the world ?
","human (individual)"
436,"What is the highest peak in Africa ?
","location (mountain)"
437,"Where is Procter & Gamble headquartered in the U.S. ?
","location (other)"
438,"What desert has been called The Garden of Allah ?
","location (other)"
439,"What do bicornate animals have two of ?
","entity (other)"
440,"What function does a community 's water tower serve ?
","description (reason)"
441,"What is a fear of weakness ?
","entity (medicine)"
442,"How many miles is it to Ohio from North Carolina ?
","numeric (count)"
443,"How much snow equals an inch of rain ?
","numeric (count)"
444,"What does G.M.T. stand for ?
","abbreviation (expression)"
445,"What does Inuit and Eskimo mean ?
","description (definition)"
446,"What song served as the closing theme of The Johnny Cash Show ?
","entity (creative)"
447,"What field sport did dentist William Beers promote and write a standard book of rules for ?
","entity (sport)"
448,"How do I tie dye clothes ?
","description (manner)"
449,"When does the average teenager first have intercourse ?
","numeric (date)"
450,"Why doesn 't www.answers.com have any answers to my questions ?
","description (reason)"
451,"What actor 's autobiography is titled All My Yesterdays ?
","human (individual)"
452,"What Russian master spy lived in the U.S. under the name Emil Goldfus ?
","human (individual)"
453,"Where 's the 19th hole on a golf course ?
","location (other)"
454,"What 's nature 's purpose for tornadoes ?
","description (reason)"
455,"Who played the original Charlie 's Angels ?
","human (individual)"
456,"Where can I find a person 's address from a telephone number ?
","location (other)"
457,"What English word comes from the Old French covrefeu , meaning cover fire ?
","entity (word)"
458,"What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
","entity (instrument)"
459,"Where did Sarge Steel get his metal hand ?
","location (other)"
460,"What makes popcorn pop ?
","description (reason)"
461,"Who wrote The Night of the Iguana ?
","human (individual)"
462,"Where does your hair grow the fastest ?
","entity (body)"
463,"What country did King Gustav V reign over from 197 to 195 ?
","location (country)"
464,"Who painted Mother and Child ?
","human (individual)"
465,"What is the speed of the Mississippi River ?
","numeric (speed)"
466,"In what area of the world was the Six Day War fought ?
","location (other)"
