Title,Tags
"Was the Granny Smith Apple the first green skinned apple widely propagated?","<australia><food>"
"Where was the Japanese surrender signed on Okinawa in June 1945?","<world-war-two><geography>"
"Where did the term ""Middle Ages"" come from?","<middle-ages><terminology>"
"Where can I find American circus or carnival grounds plans?","<20th-century><north-america>"
"What did Mesopotamian beehives look like?","<agriculture><mesopotamia>"
"What kind of incense was used by the Sumerians?","<religion><mesopotamia><sumer>"
"Why was Woody Woodpecker a ""natural"" hit during WW2?","<united-states><world-war-two><popular-culture>"
"How historically accurate is Les Miserables?","<historiography><french-revolution><movies>"
"Did America ignore British patents during Industrialization","<united-states><law><industrial-revolution>"
"Sumerian cuneiform dictionary?","<language><research><sumer>"
"Did Stalin believe Israel would go communist?","<soviet-union><cold-war><israel><communism><stalin>"
"Death of a Jane or John doe","<united-states><law>"
"How did the Romans build straight roads that stretched very long distances?","<roman-empire><transportation>"
"The first use of submarines, and the appearance of ""modern"" submarines","<naval><american-civil-war><submarine>"
"Homo Sapiens Sapiens: Are genetic studies to be trusted?","<paleolithic>"
"How many Mendeleyevs there were?","<persona>"
"What is the mark next to the hallmark on this silver object?","<silver><silver-hallmark>"
"How big was the kapa trade out of Hawaii?","<trade>"
"Were railroads indispensable to American economic development?","<economy>"
"What do these hallmarks tell me about my fork and spoon set?","<silver><silver-hallmark>"
"Great Wall of China Controversy","<china><korea>"
"What right/legitimacy did Normans have to a kingdom in Southern Italy?","<middle-ages><italy><norman>"
"Could depicted items (brooch, urn, key) really be 3000 years old?","<identification><archaeology>"
"What was it like to have type 1 diabetes in the early 20th century?","<20th-century><medicine>"
"The Rosenberg diary and the functionalist-intentionalist debate","<world-war-two><historiography><holocaust>"
"When and why was Seleucia ultimately abandoned?","<middle-ages><middle-east><christianity><iraq>"
"Battles won by much weaker side","<warfare><battle>"
"How ""excellent"" were relations between American soldiers and the Vietnamese people?","<vietnam-war>"
"How did the Roman state verify citizenship?","<ancient-rome><roman-empire>"
"What was traded on the Chicago Board of Trade in the mid 1800s?","<19th-century><trade>"
"What was the role of Nikita Khrushchev during the battle of Stalingrad?","<world-war-two><soviet-union><stalingrad>"
"Are there any Vandal or Goth relics or monuments in Rome?","<ancient-rome>"
"Where and why were capital letters first used in English headlines?","<etymology>"
"Was slave labor used in rebuilding the White House?","<united-states><slavery>"
"Was the British Empire financially capable of maintaining India as a colony after WW2?","<world-war-two><india><british-empire><independence><decolonization>"
"Why and how did Macedon support Carthage in the Punic wars?","<ancient-rome><punic-wars><macedon>"
"Did colonists ""resign the power of voting"" and have no more right to govern themselves than the Cornish people?","<england><political-history><american-revolution><colonial-america>"
"WW2: Did US marines and soldiers really go into action with unbuckled helmet chin straps?","<world-war-two><war><clothing>"
"Why does clock time start in the middle of the night?","<time-keeping>"
"Divine Right of Kings: Why?","<middle-ages>"
"Most advanced nonliterate society","<social-history><kingdom><writing>"
"Was there a constant 'fear of the bomb' in the Soviet Union and America during the Cold War?","<united-states><20th-century><soviet-union><cultural-history><nuclear-weapons>"
"What is the difference between the Middle Ages and the Dark Ages?","<middle-ages><terminology>"
"Why did Saladin show kindness to Richard I?","<crusades><richard-i><saladin><12th-century>"
"What are the factors that caused the new world civilizations to be less technologically advanced than the old world?","<new-world><native-americans><technology>"
"Why was the Cuban Revolution (1953-1959) ultimately successful?","<20th-century><cuba><revolution>"
"First evidence of intercontinental or cross-cultural trade?","<economy><trade>"
"First evidence for replacement of barter trade by local abstract currency?","<economy><trade><currency>"
"What new technology/tactics allowed the breakthrough of the trenches in WW I western front?","<20th-century><world-war-one><technology><military>"
"Why was Iceland not a part of the Danish-Swedish deal in Kiel in 1814?","<19th-century><denmark><sweden><norway><iceland>"
"What was the significance of the Schleswig-Holstein question in the 19th century?","<19th-century><denmark><german-unification><imperial-germany>"
"What led to the creation of Belgium?","<france><nationalism><belgium><nation-states>"
"Were there originally seats in the elevators in the Eiffel Tower?","<france><19th-century>"
"Why did Meiji consider switching from Japanese to English?","<19th-century><japan><meiji-restoration><language>"
"When and why was the samurai class abolished?","<19th-century><japan><meiji-restoration>"
"What precipitated the Meiji restoration?","<19th-century><japan><meiji-restoration>"
"Why was Caesar at the Rubicon?","<roman-republic><caesar><1st-century>"
"Why did the Dutch, French & British acquire minor colonies in South America?","<british-empire><colonization><south-america><french-empire><dutch-empire>"
"How besieged was Leningrad after Operation Iskra?","<world-war-two><20th-century>"
"Why did Italy abandon its alliance with Germany in WW1 and join the Allied side?","<20th-century><germany><world-war-one><international-relations><italy>"
"What is the earliest evidence of contact between Ireland and Egypt?","<ireland><egypt><diplomacy>"
"Did Sun Tzu's ""Art of War"" influence Napoleon's philosophy of war and strategy?","<napoleon><philosophy-of-war><strategy>"
"What unique personal experiences contributed to the formation of Mao's brand of Communism?","<china><communism>"
"When did office chairs get their fifth wheel?","<furniture>"
"How much time did people have to take shelter during the Blitz in 1940-41?","<world-war-two><england><bombing>"
"During feudalism in Europe, was one's allegiance to the lord more or less important than the allegiance to the king?","<middle-ages><europe><law><feudalism>"
"When did keeping convicts in Australia become unprofitable?","<australia>"
"Do you know this variety of 1856 Flying Eagle cent?","<united-states><money>"
"Did the Zone Rouge in France and Belgium make a difference in WWII?","<world-war-two><france><world-war-one><belgium>"
"To what extent does the dictionary of Samuel Johnson represent English as it was spoken in his day?","<england><18th-century><language>"
"Did Ancient Romans use metal thimbles? What were they like?","<ancient-history><ancient-rome><food><clothing><reference>"
"Were there any high-ranking female soldiers during the Middle ages?","<military><middle-ages><women>"
"How long did it take a typical capital warship to ramp up to flank speed?","<navy><engineering>"
"Help with identifying my great-grandfather's pre-WWI Cossack uniform","<russia><world-war-one><poland><russian-revolution><ukraine>"
"What were the key difficulties for the Romans in the conquest of Germanic tribes?","<ancient-rome><roman-empire>"
"In the Molotov-Ribbentrop Pact, was there any secret agreement on the timetable, if any, of taking the spheres of influence?","<world-war-two><nazi-germany><soviet-union><treaties>"
"Were women directly involved in national state affairs in Indian kingdoms?","<india><kingdom><women>"
"Did medieval Icelanders write with runes?","<vikings><writing><iceland>"
"Why was Copernicus not persecuted by the church, but Galileo was?","<science><catholic-church>"
"Where did the so-called ""Jap Skulls"" end up?","<united-states><world-war-two><20th-century><japan><death>"
"Did Andrew Jackson think the earth was flat?","<united-states><19th-century><political-history><science>"
"Why are cave paintings so few and rare?","<prehistory><anthropology><paleolithic>"
"What caused scientific and cultural decline of East Roman (Byzantine) Empire?","<byzantine-empire>"
"Historical, academic explanations for the near-universal second-class citizenship of women?","<social-history><social-class><anthropology><world><gender>"
"How historically accurate is 'India: A History' by John Keay?","<india><historiography><book><accuracy>"
"Historically, how did people living in distant regions communicate?","<language><communication>"
"Why did the USSR preserve the national republics?","<soviet-union>"
"Did nomadic Bedouins outnumber sedentary Arabs in 7th century Arabian peninsula?","<demography><arabia><saudi-arabia>"
"Immigrants to Mexican New Mexico","<colonization><colonial-america><mexico><immigration><new-mexico>"
"Were the mongol army boots of 13th century lined with fur?","<military><mongol-empire><mongolia>"
"Catholic priests starting a war","<catholic-church><mexico><revolution><independence>"
"What caused the long lasting of peace in during the Heian Period?","<japan><classical-japan>"
"Why was the Polish 1st Parachute Infantry Brigade dropped at Driel on the South bank of the Rhine?","<world-war-two>"
"Did the Golden Horde shoe their horses?","<mongol-empire>"
"Were travelling judges paid in medieval England?","<middle-ages><england><law>"
"When did the British gentry stop wearing wigs?","<18th-century><britain><fashion>"
"Why is the nuclear powered USS Nautilus (SSN-571) a museum, when nuclear aircraft carriers are not converted to museums?","<navy><nuclear>"
"What does King Henry III have on his lap in this illustration from a Matthew Paris chronicle?","<middle-ages><england><identification><monarchy>"
"Can someone tell me more about this dagger with a bronze hilt?","<weapons><identification>"
"Did teenage Sultan Osman II use people as targets?","<ottoman-empire>"
"Fat jokes in ancient Greek comedies","<ancient-greece><art>"
"Historically, when (and why) did Ganga become a holy river? Is it after Sarasvati dried up?","<india><geography><hinduism>"
"Why were there no religious wars in Poland?","<religion><poland><17th-century><16th-century><reformation>"
"Why did the Spanish take the island of Annobon in the Treaty of El Pardo in 1778?","<18th-century><colonization><spanish-empire><treaties><portuguese-empire>"
"What were the Allies' plans if they caught Hitler alive?","<20th-century><world-war-two><hitler>"
"Were the problems Fibonacci solved in his work ""Flos"" posed specifically for him?","<middle-ages><europe><mathematics>"
"New theory on origins of modern-day Romania?","<europe><ancient-rome><roman-empire><classical-antiquity><romania>"
"Were Greek columns hollow?","<ancient-greece><classical-antiquity><hellenistic-greece><architecture><classical-greece>"
"Did Japan perceive their hypergrowth as stable and unstoppable as the United States did?","<japan><cold-war>"
"What were China's thoughts on the possibility of a nuclear exchange, during the Cold War?","<china><cold-war><nuclear-weapons>"
"M4A1 sherman vs StuG III ausf. G — what were the odds in favor of the Sherman?","<united-states><world-war-two><nazi-germany><germany><armour>"
"What coin is this? Arabic: 10 Fulus, over crossed wheat and lead","<identification><currency><money><numismatics>"
"Why were La Réunion and Mauritius uninhabited?","<africa><madagascar>"
"Why China government used military and tanks against students on Tienanmen Square in 64 incident?","<china>"
"What was the official reason for not invading France until the middle of 1944?","<united-states><world-war-two><warfare><united-kingdom>"
"In the 1920's, why did the German government fire working women if their husband was employed?","<20th-century><1920s>"
"How widely were Ramadan observed among Muslim slaves in pre-civil war America?","<united-states><slavery><muslims>"
"Did any black athletes other than Jesse Owens win any medals in the 1936 Berlin Olympics?","<nazi-germany><racism><sports><olympics>"
"List of Lend Lease deliveries by years","<united-states><world-war-two><soviet-union>"
"How dependent was Nazi Germany on iron ore from Sweden?","<world-war-two><nazi-germany><economy><sweden>"
"Why have both July and August 31 days?","<calendar>"
"Why didn't Germany blockade the Strait of Gibraltar during WW2?","<world-war-two><nazi-germany><warfare>"
"Prevalence of smallpox among the Norse in Northern Scandinavia, Iceland, Greenland","<vikings>"
"Origin of ""The grass did not grow where Attila had passed""","<ancient-history><roman-empire><steppe-nomads>"
"Did the US government ever burn corn?","<united-states><economics><agriculture>"
"How widespread was astronomy in prehistoric times?","<ireland><ancient-egypt>"
"How would slaves have addressed their masters in Ancient Greece?","<ancient-greece><language><communication>"
"What was ""Greek fire""?","<technology><byzantine-empire><weapons>"
"When did the American War of 1812 actually end?","<united-states><war><19th-century><united-kingdom><canada>"
"Which Confederate State provided the most troops in the American Civil War?","<19th-century><american-civil-war><confederacy>"
"Supplies for army of Napoleon","<military><19th-century><warfare><napoleonic-wars>"
"Who besieged Karl IV at Siena?","<middle-ages><holy-roman-empire><italy><14th-century>"
"How is it that King Philips War devastated the colonists so much, but the Colonists were not driven out?","<17th-century><native-americans><colonial-america>"
"What were the acceptance criteria in universities of medieval Europe?","<middle-ages><europe><education>"
"What is this military patch with the silhouette of a pegasus on it?","<20th-century><world-war-two><military><identification>"
"Why was Patriarch Nikon removed from power?","<russia><17th-century>"
"What sort of Cardinals were Richelieu and Mazarin?","<religion><france><christianity><17th-century><catholic-church>"
"What is the relevance of the Confession of Augsburg to the Colloquy at Poissy?","<france><17th-century><catholic-church><protestant-church>"
"How did Edward Misselden become a deputy-governor of a merchant company at 15?","<england><17th-century><mercantilism>"
"Why was the Håndfæstning forced on Erik V of Denmark?","<middle-ages><denmark><13th-century>"
"Why did Huldrych Zwingli and Martin Luther stand for clerical marriage?","<church><christianity><reformation><15th-century><16th-century>"
"Was Falkenhayn the first commander to recommend defeating an enemy by bleeding them to death?","<france><germany><warfare><world-war-one><strategy>"
"Battle of Norfolk (1991 Gulf War): How could the losses be so lopsided?","<military><tactics><tanks><iraq><gulf-war>"
"Why didn't Russia seize California when it could?","<war><russia><california><mexico><spanish-empire>"
"Why did Lincoln's election prompt the Southern states to secede?","<american-civil-war><abraham-lincoln>"
"What is the strongest alcoholic drink that existed during the Middle Ages in Europe?","<middle-ages><europe><alcohol>"
"What was the process for the Japanese to sign up for the Kamikaze suicide program?","<world-war-two><japan>"
"Why/how did German arms output peak in 1944 when they were running out of oil?","<world-war-two><nazi-germany>"
"What access did people in the Warsaw pact countries have to Western television and radio?","<cold-war><propaganda><media><socialism><collapse>"
"What is the name of the theory opposite to the Great Man theory?","<political-history><philosophy><terminology><social-history><sociology>"
"What laws did the king ""refuse to pass... unless those people would relinquish the right of representation""?","<united-states><united-kingdom>"
"How might someone have gotten a note forwarded from a transport train headed to Auschwitz?","<world-war-two><jews><holocaust>"
"19th century cabins: why were beds off the ground? Or weren't they?","<united-states><19th-century><canada>"
"Why wasn't Iran colonized by any country?","<united-kingdom><iran>"
"Why did the UK allow India to be a republic rather than a democratic parliament under the British Monarch?","<india><british-empire><independence>"
"What were the casualties and ship damage on each side of the Battle of Plum Point Bend, Tennessee?","<naval><american-civil-war>"
"When was natural gas first used for cooking food?","<food><records><natural-resources>"
"What information would be contained on an Ottoman Tapu deed in the 1830s?","<ottoman-empire>"
"What was John Buchan's position on Jewish immigration?","<jews><canada><immigration>"
"Was a passport needed to travel between UK and France in 1972?","<20th-century><europe><france><united-kingdom>"
"Source of quote attributed to Florence Nightingale: To understand God's thoughts we must study statistics","<quotes><medicine><statistics>"
"Why was no Nobel Prize for Literature awarded in 1935?","<sweden><1930s>"
"Who built the shrine of Hilal ibn Ali in Kashan, Iran?","<islam><architecture><iran><persia>"
"What does the Vietnamese name ""Nguyen"" actually mean?","<etymology><vietnam>"
"Vietnam war ""blue tag""","<military><vietnam-war>"
"Can anyone confirm the identity of these WWI uniforms?","<world-war-one><identification><uniform>"
"What were late eighteenth century British models of heroism?","<cultural-history><18th-century><britain>"
"How do I find the sources which determined the year of the fall of Babylon?","<ancient-history><historical-research><ancient-babylon><research-techniques>"
"During WW2, what were working conditions of factory workers in Russia?","<world-war-two><soviet-union><industrial-history>"
"Which Kings of France visited England?","<middle-ages><france><england><monarchy><early-modern>"
"Were there records kept of French nobility before the invasion of England in 1066?","<middle-ages><england><nobility><norman>"
"In what contexts did male friends kiss in Europe in the 1700s?","<europe><france><cultural-history><18th-century><britain>"
"Historical drivers behind demographics of Indigenous populations in American countries","<native-americans><demography><colonial-america><spanish-empire>"
"What was the justification of morality in Puritan antinomianism?","<religion><contemporary-history>"
"Why was Villa Gaggia chosen as the setting for Hitler & Mussolini's July 1943 meeting?","<world-war-two><hitler><italy><mussolini>"
"What is the earliest known writing associating the number three with the dimension of the world?","<ancient-history><science><mathematics>"
"How many electric light companies operated in New York in 1887?","<economics><new-york>"
"How long before an event gets into history?","<historiography><academics>"
"Who named the Democratic Party?","<united-states><19th-century><political-history>"
"Why did the French Revolution bring secularism?","<catholic-church><french-revolution>"
"When did static electricity become a common occurrence?","<everyday-life>"
"What made Stalingrad a turning point in the second world war?","<world-war-two>"
"How was Takeda defeated at the Battle of Nagashino?","<military><war><japan><cavalry><medieval-japan>"
"John the Fearless: John I or John II? Can the French and the English agree?","<france><monarchy>"
"What happened in 1914 that ended the golden age of microbiology?","<20th-century><science>"
"How did Urdun come to be called Jordan?","<20th-century><middle-east><arab>"
"What was the purpose of a division staff in a US Navy Task Force/Fleet in WWII?","<united-states><warfare><navy>"
"Did the aborigines of Australia and the Maoris in New Zealand know about each other's existence, before the Europeans came?","<australia><aboriginals><new-zealand>"
"Did the Portuguese and the Spanish have slaves on European soil working for them?","<spain><slavery><portugal>"
"What evidence do we have that historical accounts we've found of ancient civilizations weren't fictional?","<literature><civilizations>"
"Why is the capital of Turkey Ankara rather than Istanbul?","<20th-century><geography><turkey>"
"Failure of the Sikh Campaign in Tibet","<india><china>"
"Why were Nepal and Bhutan accepted as separate nations?","<20th-century><india><british-empire><international-relations>"
"Today, how accurate and balanced is Paul Johnson's book *History of the Jews*?","<historiography><jews><accuracy>"
"Why was PTSD not written about as much before the 20th century?","<warfare><medicine><cultural-history>"
"Medieval farmer's metal tools","<middle-ages><economy><social-history>"
"What was the size of surface of a cereal crop needed per man per year during the Dark Ages in Western Europe?","<middle-ages><europe><economy><agriculture>"
"How high was the morale of non-Soviet Warsaw Pact states' armies and governments in the '80s?","<20th-century><soviet-union><cold-war><warsaw-pact>"
"How true is the statement ""Soviet troops got into Berlin riding American trucks, walking in American boots and using American trains""?","<20th-century><world-war-two><soviet-union>"
"How did the gold of the new world cause the Spanish Empire to collapse?","<spanish-empire>"
"Where was the furthest extent of Arabian trade explorations?","<middle-ages><trade><arabia><exploration>"
"Pre-1901/1902 US Presidential Protection","<united-states><president><assassination>"
"When did ancient religions start to experience dropping numbers of adherents in Europe?","<europe><religion>"
"In the British empire, what was the difference between a Governor General and a Viceroy?","<19th-century><british-empire><colonization><18th-century><royalty>"
"How did an unditching beam work?","<military><world-war-one><tanks>"
"Hunting in Armour in Medieval Europe?","<middle-ages><europe><nobility><armour>"
"How did the Islamic Empire incentivise conversion?","<islam>"
"Were there any German submarines sunk after 25th of April 1945?","<world-war-two>"
"Any advice on my thesis for a history paper on the issue of illegal immigration in 20th Century America?","<united-states><immigration>"
"How much authority did a traveling lord have in England in the late 16th century?","<england><16th-century>"
"Why didn't Hitler have more submarines in the English channel?","<world-war-two>"
"When did the Egyptians stop wrapping their dead in bandages?","<ancient-egypt><egypt>"
"Did the 49 star USA flag see significant adoption by the American public?","<united-states><flags>"
"Tiberius, Augustus, and Eusebius","<roman-empire><historical-accuracy><date><caesar>"
"RAF Vulcan nuclear missions - returning to base planning","<military><aircraft><nuclear-weapons>"
"What was the UK Constitution in 1776, regarding taxation and representation?","<united-states><united-kingdom>"
"During the Berlin Blockade, why didn't the people in West Berlin just go over to buy food in East Berlin?","<20th-century><1960s><berlin-wall>"
"What is the difference between a culture and a civilization?","<cultural-history><historiography><civilizations>"
"How did the primary means of communication between the British government in Delhi and UK change during WW2?","<world-war-two><british-empire><communication>"
"Why do people say, ""Alexander the Great conquered the world?""","<military><ancient-history><ancient-greece><cultural-history><alexander-iii-greece>"
"Theon of Alexandria and the Library of Alexandria","<ancient-egypt>"
"What do Marxists mean by ""class basis of law""? As seen in linked article","<soviet-union><law><communism><social-class>"
"During and right after the French Revolution, how did France maintain and operate such a big army all over Europe?","<napoleonic-wars><french-revolution><french-empire>"
"How did one's statistical chance of survival as a hidden Jew change during the course of the Nazi occupation of northern France?","<world-war-two><france><jews><nazism>"
"Why did carrier battle groups require multiple carriers?","<united-states><world-war-two><japan><naval>"
"Did Spain and the Republic of China (Kuomintang) have diplomatic relations between 1931 and 1939? Were they friendly or unfriendly?","<20th-century><china><spain><diplomacy>"
"What was the Jiangxi Soviet's language of operation between 1931 and 1934?","<china><communism>"
"Why were proconsular appointments so staggered under the Principate?","<ancient-rome><roman-empire><political-history>"
"Mystery of the many-loaded muzzles","<weapons><american-civil-war>"
"Who said, ""Watch your thoughts, they become your words""?","<quotes>"
"How long did it take to repair wooden war ships after battle in the 1600's to 1800's?","<warfare>"
"How did ululation originate and spread?","<india><social-history><africa>"
"What were the thoughts of the Celts, Romans and other ancient European people about the standing stones which survive from prehistoric times?","<ancient-history><europe>"
"Was the Battle of Trafalgar strategically pointless?","<france><united-kingdom><naval><napoleonic-wars><battle>"
"Are these Houthi Rebels in Yemen the same people who ran the Mutawakkilite Kingdom of Yemen?","<middle-east><arabia><ethnicity>"
"Why did Europe not see Roman-era numbers of men participating in battles until the 17th century?","<military><middle-ages><europe><classical-antiquity>"
"Who decided on the name ""Mexico""?","<mexico><revolution><place-names><decolonization>"
"When and where were the first coins made showing the currency or a face value?","<money>"
"Did the House of Representatives during Meiji Era exercise their powers?","<political-history><japan><meiji-restoration>"
"What did states gain from spreading a particular religion?","<religion><ancient-egypt>"
"What are these cubbies?","<france><architecture>"
"Was there Nazi Collaboration at an Institutional level in Poland?","<europe><nazi-germany><jews><poland><holocaust>"
"How did the US plan to use nuclear shells for naval guns?","<united-states><military><cold-war><nuclear-weapons>"
"When is the first time any variation of the name Misraim is used to refer to Egypt?","<ancient-history><ancient-egypt><archaeology><historical-research><ancient-babylon>"
"Where did 15th century English serfs live?","<middle-ages>"
"Was Carausius the grandfather of Magnus Maximus?","<ancient-history><ancient-rome>"
"Constantine the Great created the Chi-Rho from the Greek word for ""Christ"". Why choose Greek over Latin, even though he was Roman?","<ancient-rome><christianity><latin>"
"Why did India use Soviet military hardware during the Cold War?","<military><india><cold-war><pakistan>"
"Using a lance while on a charging horse against ground based enemy","<middle-ages><warfare><cavalry>"
"How can you see what rank a British redcoat is?","<american-revolution>"
"Were there ever Taoist missionaries?","<religion><china>"
"What is the name of the king whose brother has been raised as a girl?","<monarchy>"
"Non Altered European Castles","<europe><england><ireland><castles>"
"Tocqueville and the phrase ""The great experiment""","<democracy><book>"
"What were the factors behind the lowest AAA corporate interest rate in U.S bond history during 1946?","<economy><economics>"
"How accurate is Stone's ""The trial of Socrates""?","<ancient-greece>"
"Lost battles - under which conditions does the losing party actively commemorate a battle?","<military><battle>"
"Where did the Gaels originate?","<ireland><celts>"
"What were the origins of Etruscan Civilisation?","<ancient-history><cultural-history><italy>"
"Who compared giving women the vote to giving cows the vote (& in what context)?","<19th-century><sources>"
"During the Sengoku-jidai, what were shinobi (aka ninja) used for?","<japan><sengoku><espionage>"
"Who was the first military force to use teppo (guns) in mass battles during the Sengoku-jidai?","<japan><weapons><sengoku><warfare>"
"Who started the ""katana is the soul of the Samurai"" meme?","<japan><sengoku><weapons>"
"Was the Battle of Tours really the turning point for the Umayyad expansion into Europe?","<franks><umayyad-caliphate>"
"When did blade fuller appear?","<weapons><sword>"
"Evidence of cross contamination between Japanese and Western sword fighting styles?","<japan><sengoku><sword><europe>"
"When were swords last used in European warfare?","<weapons><technology><sword><warfare>"
"Where and how did the concept of ""incorporation"" originate?","<law><14th-century><business-history>"
"How did Magnus IV of Sweden come of age at 15?","<middle-ages><14th-century><norway><sweden>"
"What was the reason for inflation in Britain after the Black Death?","<middle-ages><economy><britain><14th-century><black-death>"
"How frequently were homing pigeons used in the World Wars?","<world-war-two><world-war-one><warfare><communication><animals>"
"Is the ""youth bulge"" hypothesis an evident explanation for imperialistic/rebellious historic movements and genocides?","<social-history><crusades><imperialism><genocide><demography>"
"Did Ben-Gurion attend a lecture by Trotsky in New York in 1917?","<world-war-one><israel><socialism><zionism><russian-revolution>"
"Did Noah Webster ever state why he Americanized spelling?","<united-states><19th-century><language>"
"How did France balance the budget by 1738?","<france><18th-century><finance>"
"What was the League of Sublime and Perfect Masters?","<europe><19th-century><italy><french-revolution>"
"Context for this 1871 humorous map of Europe?","<europe><19th-century><maps>"
"By what right/legitimacy did the Republic of Indonesia come to rule the country?","<20th-century><south-east-asia><indonesia><netherlands>"
"How did IKEA design evolve?","<everyday-life><contemporary-history>"
"Why did the United States want to ""make Europe prosperous once more"" with the Marshall Plan?","<united-states><world-war-two><europe><economy>"
"Did the ancient Egyptians dress living cats in jewelry?","<religion><ancient-egypt><animals>"
"Did the idea of motion illusion exist in medieval or islamic art?","<middle-ages><islam><art>"
"What is the first known instance of gift-giving backfiring across cultures?","<diplomacy><communication><conflict>"
"How was South African infrastructure before 1994?","<20th-century><south-africa>"
"Was the Somerset Decision in 1772 in England the real underlying cause of the American Revolutionary war?","<political-history><british-empire><slavery><colonial-america><american-revolution>"
"Did ramming tank battle tactics occur in WW2?","<world-war-two><tactics><tanks>"
"When was Khemet renamed to Misr?","<ancient-egypt>"
"Are there any records that indicate a submarine vs submarine battle?","<world-war-two><submarine>"
"When was divorce made illegal again in Ireland?","<ireland><law><sociology><marriage>"
"Did the roman conquerors have directives/guidelines to either integrate or assimilate foreign tribes/folks?","<language><roman-empire><social-history><assimilation><cultural-history>"
"How long did it take to bind a book in 13th century England?","<middle-ages><england><book><historical-techniques>"
"Did medieval scholars believe the Earth was round?","<europe><science><early-medieval>"
"Ancient Egyptian hieroglyphs jʿr.t (iaret)","<ancient-egypt>"
"Is there, or was there ever a venue known as ""Cobo Arena"" in Detroit?","<building>"
"Why were eighteenth century financial inventions only patentable under French law for 21 months?","<france><18th-century><finance><banking>"
"Where was the Battle of Antioch (613 CE) fought?","<byzantine-empire><battle><persia>"
"Explain the symbols in the relief of Thoth raising Seti I in the Temple of Seti I at Abydos","<ancient-egypt>"
"John Glubb - importance and academic interest","<historiography><academics>"
"How was the Roman army in fact organized during Caesar's campaigns in Gaul?","<military><ancient-rome><classical-antiquity>"
"Did the Red Army and German Army clash in Poland in 1939?","<world-war-two><nazi-germany><soviet-union><poland>"
"Why weren't army snipers used at the Munich massacre?","<germany><1970s><police>"
"Why did the US give up the portion of Vancouver island below the 49th parallel but insist on keeping Point Roberts?","<united-states><canada>"
"Was slavery abolished in the Kingdom of Hungary, and if so, when?","<slavery><hungary>"
"Why so many early temples on Malta?","<ancient-history><prehistory><temples><malta>"
"Couldn't Japan have solved the problem of drifting at sea?","<japan><transportation><age-of-sail><disasters><ships>"
"Landing strip in a besieged town on the eastern front","<world-war-two>"
"Is there any evidence of Edward VIII trying to influence the UK Government?","<20th-century><government><sources><united-kingdom><royalty>"
"Which 11 countries were democratic in 1941?","<democracy>"
"How was Australia able to start to demobilize in 1944?","<world-war-two><military><australia>"
"What was the typical peasant's diet like in Europe during the High Middle Ages?","<middle-ages><cultural-history><food><everyday-life>"
"What are the origins of the Shinto religion?","<japan><religion>"
"When and why did war chariots stopped being used?","<war><ancient-history>"
"Is there any documentation regarding the use of war elephants in battles?","<ancient-history><war><war-elephants>"
